ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-01-02,'000799,¾Æ¹í¾Æ,36.13,36.47,35.85,36.0,35.85,0.28,0.781,3.9372,12793113,462007331.16,11739684047.4,11739684047.4
2020-01-03,'000799,¾Æ¹í¾Æ,36.01,36.2,35.64,36.2,36.13,-0.12,-0.3321,3.0787,10003630,358842675.53,11700692569.8,11700692569.8
2020-01-06,'000799,¾Æ¹í¾Æ,35.81,36.25,35.52,35.6,36.01,-0.2,-0.5554,2.8579,9286233,333053072.02,11635706773.8,11635706773.8
2020-01-07,'000799,¾Æ¹í¾Æ,36.09,36.2,35.72,35.87,35.81,0.28,0.7819,2.4469,7950538,286380330.74,11726686888.2,11726686888.2
2020-01-08,'000799,¾Æ¹í¾Æ,35.62,36.17,35.54,35.95,36.09,-0.47,-1.3023,2.1025,6831575,244566226.23,11573970267.6,11573970267.6
2020-01-09,'000799,¾Æ¹í¾Æ,36.15,36.39,35.55,35.75,35.62,0.53,1.4879,3.9443,12816073,461456275.84,11746182627.0,11746182627.0
2020-01-10,'000799,¾Æ¹í¾Æ,37.87,38.18,36.16,36.2,36.15,1.72,4.758,6.8329,22202089,827794992.28,12305060472.6,12305060472.6
2020-01-13,'000799,¾Æ¹í¾Æ,38.08,38.88,37.89,37.89,37.87,0.21,0.5545,4.931,16022348,613347414.85,12373295558.4,12373295558.4
2020-01-14,'000799,¾Æ¹í¾Æ,39.18,39.5,38.01,38.24,38.08,1.1,2.8887,5.3515,17388461,676151079.3,12730717436.4,12730717436.4
2020-01-15,'000799,¾Æ¹í¾Æ,39.2,40.28,38.8,39.18,39.18,0.02,0.051,3.5611,11571059,456503717.05,12737216016.0,12737216016.0
2020-01-16,'000799,¾Æ¹í¾Æ,40.04,40.5,38.96,39.35,39.2,0.84,2.1429,4.2929,13948926,557772084.63,13010156359.2,13010156359.2
2020-01-17,'000799,¾Æ¹í¾Æ,40.23,41.11,39.94,39.94,40.04,0.19,0.4745,3.0206,9814761,396912161.03,13071892865.4,13071892865.4
2020-01-20,'000799,¾Æ¹í¾Æ,39.62,40.7,38.73,40.23,40.23,-0.61,-1.5163,4.2717,13880102,549349101.13,12873686187.6,12873686187.6
2020-01-21,'000799,¾Æ¹í¾Æ,38.96,39.97,38.75,39.5,39.62,-0.66,-1.6658,2.9414,9557496,375229084.61,12659233060.8,12659233060.8
2020-01-22,'000799,¾Æ¹í¾Æ,38.96,39.48,37.96,38.7,38.96,0.0,0.0,2.5735,8362112,324966740.84,12659233060.8,12659233060.8
2020-01-23,'000799,¾Æ¹í¾Æ,37.02,39.19,36.33,38.79,38.96,-1.94,-4.9795,3.8054,12364793,465209387.65,12028870839.6,12028870839.6
2020-02-03,'000799,¾Æ¹í¾Æ,33.32,33.32,33.32,33.32,37.02,-3.7,-9.9946,0.5435,1765900,58839788.0,10826633613.6,10826633613.6
2020-02-04,'000799,¾Æ¹í¾Æ,31.63,32.3,30.26,31.99,33.32,-1.69,-5.072,7.4969,24359532,762958223.08,10277503637.4,10277503637.4
2020-02-05,'000799,¾Æ¹í¾Æ,32.15,32.87,31.1,31.8,31.63,0.52,1.644,4.2033,13657675,438186367.08,10446466707.0,10446466707.0
2020-02-06,'000799,¾Æ¹í¾Æ,32.55,32.74,31.84,32.04,32.15,0.4,1.2442,3.2197,10461671,337496409.48,10576438299.0,10576438299.0
2020-02-07,'000799,¾Æ¹í¾Æ,32.45,32.82,31.9,32.78,32.55,-0.1,-0.3072,2.5203,8189263,264712637.35,10543945401.0,10543945401.0
2020-02-10,'000799,¾Æ¹í¾Æ,32.81,33.05,31.5,32.45,32.45,0.36,1.1094,3.9803,12933309,417991159.5,10660919833.8,10660919833.8
2020-02-11,'000799,¾Æ¹í¾Æ,33.45,34.16,32.61,32.81,32.81,0.64,1.9506,4.582,14888130,498998256.45,10868874381.0,10868874381.0
